,model,n,d,p,prop_miss,seed,d_miwae,n_epochs,sig_prior,method,time,citcio,add_wy,tau_dr,tau_ols,tau_ols_ps,mul_tau_dr,mul_tau_ols,mul_tau_ols_ps,dcor_zhat,dcor_zhat_mul
12,dlvm,1000,3,5,0.1,0,3,400,1,glm,238,False,False,1.0819343969349111,1.0828000851753201,1.0827850117682944,1.0680866908851818,1.0690885084673944,1.0692151611495817,0.7183472223426152,0.5790360551004565
13,dlvm,1000,3,100,0.1,0,3,400,1,glm,1052,False,False,1.0373723471754597,1.049566535580861,1.0481426959926898,1.0399483501967248,1.049740840173701,1.0484850833174497,0.8648634028718377,0.8477475965168833
14,dlvm,1000,3,5,0.3,0,3,400,1,glm,234,False,False,1.0800455926376054,1.0791778734664235,1.0786921225136814,1.0619688306615738,1.0631162557021703,1.0631555547685185,0.7090728536674884,0.5799592228788665
15,dlvm,1000,3,100,0.3,0,3,400,1,glm,1041,False,False,1.075077321763348,1.0541250058541427,1.051692341741297,1.0702384484261322,1.052416099709487,1.049763424457356,0.8621742028302394,0.8447402973335645
16,dlvm,1000,3,5,0.1,0,3,10,10,glm,129,False,False,1.0780843198012726,1.0743286536681407,1.074605537198478,1.0521064569565315,1.0521006869978224,1.052131446687725,0.7066176541560304,0.5161469691193981
17,dlvm,1000,3,100,0.1,0,3,10,10,glm,737,False,False,1.027160018480192,1.0490739701791378,1.048244931640063,1.0389511478048759,1.0539894412980155,1.0531292958543303,0.8487522455115988,0.8165445426372869
18,dlvm,1000,3,5,0.3,0,3,10,10,glm,133,False,False,1.074981990617054,1.0732435274615804,1.073600285341515,1.049373493818097,1.0494903552939396,1.050042483724138,0.7074902921377346,0.507789402285714
19,dlvm,1000,3,100,0.3,0,3,10,10,glm,698,False,False,1.0242400597265746,1.0330464976391218,1.0340926603735299,1.037628472233501,1.044318790212736,1.0442289818547188,0.8589998611453487,0.8126732204869104
20,dlvm,1000,3,5,0.1,0,3,400,10,glm,239,False,False,1.090373906019391,1.087225427658058,1.0866710049198585,1.0697369183238725,1.069515499558737,1.0695067484106568,0.6937295867139753,0.5632663390476664
21,dlvm,1000,3,100,0.1,0,3,400,10,glm,1044,False,False,1.0486069047770858,1.0544279062402635,1.054510576904568,1.0502065532718121,1.0553829417806395,1.055316811984634,0.8455615502438892,0.8429546558396868
22,dlvm,1000,3,5,0.3,0,3,400,10,glm,245,False,False,1.087556776780049,1.0864124848856902,1.0863731818247697,1.0689651215309928,1.069096100674988,1.0690549773972036,0.6948807633024414,0.5667256710574984
23,dlvm,1000,3,100,0.3,0,3,400,10,glm,1045,False,False,1.043558067018077,1.0587671206282523,1.061906759273672,1.0447840683227982,1.0582234698148298,1.0608623779447708,0.8474646554388382,0.8411107174750098
