,model,n,d,p,prop_miss,seed,d_miwae,n_epochs,sig_prior,method,time,citcio,tau_dr,tau_ols,tau_ols_ps,mul_tau_dr,mul_tau_ols,mul_tau_ols_ps
314,lrmf,1000,3,5,0.3,6,3,10,0.1,glm,282,True,1.1454465545605699,1.145560881562147,1.192936652339995,1.1454465545605697,1.1547748307558234,1.154660572978022
315,lrmf,1000,3,100,0.3,6,3,10,0.1,glm,567,True,7.598844553234023,7.581913441813807,7.594403923390786,7.598844553234021,7.297190290726629,7.299780238199616
316,lrmf,1000,3,5,0.1,6,3,400,0.1,glm,365,True,1.7347616839728743,1.737928206278184,1.7385604122673577,1.734761683972874,1.6868585958067808,1.6894545493725714
317,lrmf,1000,3,100,0.1,6,3,400,0.1,glm,825,True,0.6617428853640436,0.7037889142492588,0.4645982214418396,0.6617428853640436,0.8238844044122997,0.6191604109114796
318,lrmf,1000,3,5,0.3,6,3,400,0.1,glm,369,True,1.8152777178473236,1.8207021711738491,1.8238976096136703,1.8152777178473232,1.6607041225647436,1.6641710685266502
319,lrmf,1000,3,100,0.3,6,3,400,0.1,glm,824,True,0.7127054401156566,0.7420476988273705,0.48877741661550544,0.7127054401156567,0.8746781983120197,0.6474377865948295
320,lrmf,1000,3,5,0.1,6,3,10,1,glm,287,True,1.2646792828420625,1.289249598524717,1.2463896855128476,1.2646792828420623,1.3725395518567434,1.3756173185259752
321,lrmf,1000,3,100,0.1,6,3,10,1,glm,615,True,0.8179109149042123,0.7881318836786209,0.4639651602701149,0.8179109149042122,0.9196462258943333,0.6075854430063908
322,lrmf,1000,3,5,0.3,6,3,10,1,glm,292,True,0.9607248824872802,0.9739059025237855,0.9575556206053564,0.9607248824872804,1.3663937310050478,1.370738263962243
323,lrmf,1000,3,100,0.3,6,3,10,1,glm,624,True,0.8179721800923069,0.8329369478237301,0.5303680451388961,0.8179721800923068,0.9859639450709331,0.7054214896839713
324,lrmf,1000,3,5,0.1,6,3,400,1,glm,380,True,1.6638390881159748,1.4337618392054672,1.4414416615698096,1.6638390881159746,1.6856778663039194,1.6812160556829077
325,lrmf,1000,3,100,0.1,6,3,400,1,glm,838,True,0.7582082328853803,0.6748930022763844,0.3109156529883501,0.7582082328853802,0.7563121046590322,0.40998069912556445
