,model,n,d,p,prop_miss,seed,d_miwae,n_epochs,sig_prior,method,time,citcio,m,tau_dr,tau_ols,tau_ols_ps
45,dlvm,1000,3,100,0.3,7,3,602,1,glm,161,True,10,1.6747406160420986,0.9988126738879295,0.937938798195176
46,dlvm,1000,3,5,0,7,3,602,1,glm,2,True,10,5.625546177137226,1.0035659917429463,1.0011995607810111
47,dlvm,1000,3,100,0,7,3,602,1,glm,154,True,10,1.0206000846588041,1.0090328486608713,0.8137641223683948
48,dlvm,1000,3,5,0.1,8,3,602,1,glm,2,True,10,-37665.68811663419,1.0023491722793725,1.0018370799436644
49,dlvm,1000,3,100,0.1,8,3,602,1,glm,151,True,10,1.8524926792052967,1.0256479872835267,1.2108286177108398
50,dlvm,1000,3,5,0.3,8,3,602,1,glm,1,True,10,-37665.68811663419,1.0023491722793725,1.0018370799436644
51,dlvm,1000,3,100,0.3,8,3,602,1,glm,149,True,10,1.8524926792052967,1.0256479872835267,1.2108286177108398
52,dlvm,1000,3,5,0,8,3,602,1,glm,2,True,10,2.9674460310447954,0.9966374734391742,0.9917790684549882
53,dlvm,1000,3,100,0,8,3,602,1,glm,148,True,10,0.978675869069803,0.9826582928320334,0.6102246954200186
54,dlvm,1000,3,5,0.1,9,3,602,1,glm,1,True,10,1.0103591675922465,0.9956014368213186,0.9845239982852949
55,dlvm,1000,3,100,0.1,9,3,602,1,glm,154,True,10,1.6495160737917076,1.0137412525301321,1.0043985366932222
56,dlvm,1000,3,5,0.3,9,3,602,1,glm,1,True,10,1.0103591675922465,0.9956014368213186,0.9845239982852949
57,dlvm,1000,3,100,0.3,9,3,602,1,glm,146,True,10,1.6495160737917076,1.0137412525301321,1.0043985366932222
58,dlvm,1000,3,5,0,9,3,602,1,glm,1,True,10,9.467341089952978,1.0105029063935862,1.0037935052411437
59,dlvm,1000,3,100,0,9,3,602,1,glm,150,True,10,0.9613346592595267,0.9632895194535251,0.6633162952464963
60,dlvm,1000,3,5,0.1,0,3,602,1,glm,1,False,10,1.1123655998282467,1.1108510668384335,1.1141475701535477
61,dlvm,1000,3,100,0.1,0,3,602,1,glm,150,False,10,1.049600123147276,1.047615556245856,1.0486062985434605
62,dlvm,1000,3,5,0.3,0,3,602,1,glm,2,False,10,1.1123655998282467,1.1108510668384335,1.1141475701535477
63,dlvm,1000,3,100,0.3,0,3,602,1,glm,146,False,10,1.049600123147276,1.047615556245856,1.0486062985434605
64,dlvm,1000,3,5,0,0,3,602,1,glm,1,False,10,1.1128948035023494,1.1113737125136747,1.114764568149625
65,dlvm,1000,3,100,0,0,3,602,1,glm,146,False,10,1.0499816311708785,1.0477043363699619,1.048137291610062
66,dlvm,1000,3,5,0.1,1,3,602,1,glm,1,False,10,1.0540477744488006,1.0673267170267078,1.0850409306535558
67,dlvm,1000,3,100,0.1,1,3,602,1,glm,149,False,10,1.1069428416726521,1.0833880515646013,1.0855176990201851
68,dlvm,1000,3,5,0.3,1,3,602,1,glm,1,False,10,1.0540477744488006,1.0673267170267078,1.0850409306535558
69,dlvm,1000,3,100,0.3,1,3,602,1,glm,164,False,10,1.1069428416726521,1.0833880515646013,1.0855176990201851
70,dlvm,1000,3,5,0,1,3,602,1,glm,1,False,10,1.052439261809567,1.0653715825329728,1.0826292921521854
71,dlvm,1000,3,100,0,1,3,602,1,glm,158,False,10,1.1032917106743834,1.0795871533447816,1.0816656391238726
72,dlvm,1000,3,5,0.1,2,3,602,1,glm,2,False,10,1.1023327079145702,1.1074443134354588,1.1119938859144338
73,dlvm,1000,3,100,0.1,2,3,602,1,glm,158,False,10,1.0966482873399857,1.0555899761865013,1.0579936928476363
74,dlvm,1000,3,5,0.3,2,3,602,1,glm,1,False,10,1.1023327079145702,1.1074443134354588,1.1119938859144338
75,dlvm,1000,3,100,0.3,2,3,602,1,glm,144,False,10,1.0966482873399857,1.0555899761865013,1.0579936928476363
76,dlvm,1000,3,5,0,2,3,602,1,glm,1,False,10,1.1040824345377522,1.1090662014332664,1.1137878467405076
