,model,n,d,p,prop_miss,seed,d_miwae,n_epochs,sig_prior,method,time,citcio,add_wy,tau_dr,tau_ols,tau_ols_ps,mul_tau_dr,mul_tau_ols,mul_tau_ols_ps,dcor_zhat,dcor_zhat_mul
18,dlvm,1000,3,5,0.1,0,3,400,1,glm,272,False,True,1.0815759993780003,1.0817176068451302,1.0816179954623606,1.0679435469396166,1.0684865740140348,1.0684588252458693,0.7160229257826404,0.5775269247435348
19,dlvm,1000,3,100,0.1,0,3,400,1,glm,1121,False,True,1.0667919532160477,1.0496640025988708,1.0522191946564121,1.0632040727986665,1.0488807311847668,1.0507015097843306,0.8652583244655639,0.8476949599174824
20,dlvm,1000,3,5,0.3,0,3,400,1,glm,274,False,True,1.0801813068679154,1.0791880087364107,1.0787872965955485,1.065533277377395,1.0667029562296224,1.0669448844876226,0.7154348511300527,0.5789919687770608
21,dlvm,1000,3,100,0.3,0,3,400,1,glm,1129,False,True,1.0543038944118357,1.0646745973837308,1.0657010761546175,1.0554653045508946,1.0629351106958402,1.0634151901782507,0.8626606956493688,0.8461550152563804
22,dlvm,1000,3,5,0,0,3,400,1,glm,278,False,True,1.0898070243540485,1.0894976506911243,1.0895199650392633,1.07478114754182,1.0751732467086896,1.075274543943931,0.7210635484688072,0.5826184327173983
23,dlvm,1000,3,100,0,0,3,400,1,glm,1116,False,True,1.031247904955856,1.051576609658455,1.0591149528168806,1.0341450051917465,1.0511639584913746,1.0576916601196964,0.8680966168895154,0.8525344930944725
24,dlvm,1000,3,5,0.1,0,3,10,10,glm,150,False,True,1.0599722905972349,1.0589513235105181,1.0588618158737602,1.0503418446413928,1.050469251077481,1.0508318566051642,0.7043683000598344,0.5107386048690828
25,dlvm,1000,3,100,0.1,0,3,10,10,glm,751,False,True,1.079132607223731,1.0807405704032276,1.08167737842357,1.0765815705561677,1.0834277497099878,1.081644907280032,0.8446540030423764,0.803746622834066
26,dlvm,1000,3,5,0.3,0,3,10,10,glm,164,False,True,1.0769534653586328,1.077244882531623,1.0773657067824804,1.0478979980889809,1.04816009601542,1.0488998220158388,0.7084477913614332,0.5158037942306002
27,dlvm,1000,3,100,0.3,0,3,10,10,glm,763,False,True,1.0196706312364265,1.0267577005013844,1.023419080339976,1.036899866410749,1.046132971938262,1.043168684114807,0.8419220693729172,0.8026452933543751
28,dlvm,1000,3,5,0,0,3,10,10,glm,152,False,True,1.0617755460628402,1.0626209925957868,1.062433870770181,1.0516830785284161,1.0518301266033896,1.0522215703177202,0.7111827166223346,0.5129349838096956
29,dlvm,1000,3,100,0,0,3,10,10,glm,779,False,True,1.0362303263492205,1.0535325898318708,1.0535072046209608,1.0468950605471963,1.059254413239484,1.0592059808778784,0.8550215672165228,0.8089128508093134
30,dlvm,1000,3,5,0.1,0,3,400,10,glm,283,False,True,1.0809088968534735,1.0783320709333688,1.0766908032597708,1.065972332633195,1.0669780921024357,1.0666830377109866,0.6970316568251548,0.5760300995303814
31,dlvm,1000,3,100,0.1,0,3,400,10,glm,1154,False,True,1.0315985355663708,1.0432717183633176,1.0487301342660922,1.0314176020079595,1.043207694009408,1.0485516090719165,0.8521138572586252,0.8451262872431462
32,dlvm,1000,3,5,0.3,0,3,400,10,glm,283,False,True,1.0959834742006762,1.09331322638383,1.0923001749114558,1.0710427458274077,1.0719959688119503,1.0718535317088373,0.715173078344989,0.5737858163236962
33,dlvm,1000,3,100,0.3,0,3,400,10,glm,1089,False,True,1.0346916620384259,1.047366487264176,1.0479361973883932,1.0362264140923145,1.0469189918551576,1.0473136071958011,0.8500797547450015,0.8429485640446643
34,dlvm,1000,3,5,0,0,3,400,10,glm,288,False,True,1.088192317345416,1.087667101570077,1.0875053507330719,1.0708858230766418,1.0717984834618957,1.0717955912632937,0.7034284304835051,0.5766966016528786
35,dlvm,1000,3,100,0,0,3,400,10,glm,1078,False,True,1.040861074157208,1.0491407988679078,1.0505954073085688,1.0412146216960896,1.0496661988279892,1.051276515661856,0.8615762489082489,0.8551754982283206
